suite_category,config,tpr,fpr,youden,precision,f1,tp,fn,fp,tn
juliet/CWE-190,static,0.5941,0.2706,0.3235,0.5233,0.5565,101,69,92,248
juliet/CWE-190,model,0.4294,0.0000,0.4294,1.0000,0.6008,73,97,0,340
juliet/CWE-190,hybrid,0.6235,0.2706,0.3529,0.5354,0.5761,106,64,92,248
juliet/CWE-416,static,0.9444,0.0000,0.9444,1.0000,0.9714,34,2,0,72
juliet/CWE-416,model,0.9444,0.0000,0.9444,1.0000,0.9714,34,2,0,72
juliet/CWE-416,hybrid,0.9444,0.0000,0.9444,1.0000,0.9714,34,2,0,72
juliet/CWE-787,static,0.3588,0.3481,0.0108,0.4919,0.4150,61,109,63,118
juliet/CWE-787,model,0.3706,0.0221,0.3485,0.9403,0.5316,63,107,4,177
juliet/CWE-787,hybrid,0.5647,0.3481,0.2166,0.6038,0.5836,96,74,63,118
owasp/cmdi,static,0.9320,0.6000,0.3320,0.6038,0.7328,96,7,63,42
owasp/cmdi,model,0.4660,0.2095,0.2565,0.6857,0.5549,48,55,22,83
owasp/cmdi,hybrid,0.9320,0.6000,0.3320,0.6038,0.7328,96,7,63,42
owasp/crypto,static,1.0000,0.0000,1.0000,1.0000,1.0000,119,0,0,106
owasp/crypto,model,1.0000,0.0000,1.0000,1.0000,1.0000,119,0,0,106
owasp/crypto,hybrid,1.0000,0.0000,1.0000,1.0000,1.0000,119,0,0,106
owasp/hash,static,0.6917,0.0000,0.6917,1.0000,0.8177,83,37,0,102
owasp/hash,model,0.6917,0.0000,0.6917,1.0000,0.8177,83,37,0,102
owasp/hash,hybrid,0.6917,0.0000,0.6917,1.0000,0.8177,83,37,0,102
owasp/pathtraver,static,0.8469,0.4737,0.3733,0.6058,0.7064,83,15,54,60
owasp/pathtraver,model,0.8571,0.5000,0.3571,0.5957,0.7029,84,14,57,57
owasp/pathtraver,hybrid,0.9184,0.5526,0.3657,0.5882,0.7171,90,8,63,51
owasp/sqli,static,0.6091,0.3255,0.2836,0.6820,0.6435,148,95,69,143
owasp/sqli,model,0.9383,0.7406,0.1977,0.5922,0.7261,228,15,157,55
owasp/sqli,hybrid,0.9424,0.7406,0.2018,0.5933,0.7281,229,14,157,55
overall,static,0.6846,0.2768,0.4078,0.6801,0.6824,725,334,341,891
overall,model,0.6912,0.1948,0.4964,0.7531,0.7208,732,327,240,992
overall,hybrid,0.8055,0.3555,0.4500,0.6607,0.7260,853,206,438,794
